01100B4D7DEC20000A400061,B6S
01100B4D7DEC20000A600031,B3S
01100B4D7DEC20000A600061,B6S
01100B4D7DEC20000A800031,B3S
01100B4D7DEC20000A800061,B6S
01100B4D7DEC20000AA00031,B3S
01100B4D7DEC20000AA00061,B6S
01100B4D7DEC20000AC00031,B3S
01100B4D7DEC20000AC00061,B6S
01100B4D7DEC20000AE00031,B3S
01100B4D7DEC20000AE00061,B6S
01100B4D7DEC20000AG00031,B3S
01100B4D7DEC20000AG00061,B6S
01100B4D7DEC20000AJ00031,B3S
01100B4D7DEC20000AJ00061,B6S
01100B4D7DEC20000AL00031,B3S
01100B4D7DEC20000AL00061,B6S
01100B4D7DEC20000AN00031,B3S
01100B4D7DEC20000AN00061,B6S
01100B4D7DEC20000AQ00031,B3S
01100B4D7DEC20000AQ00061,B6S
01100B4D7DEC20000AS00031,B3S
01100B4D7DEC20000AS00061,B6S
01100B4D7DEC20000AU00031,B3S
01100B4D7DEC20000AU00061,B6S
01100B4D7DEC20000AW00031,B3S
01100B4D7DEC20000AW00061,B6S
01100B4D7DEC20000AY00031,B3S
01100B4D7DEC20000AY00061,B6S
01100B4D7DEC20000B000031,B3S
01100B4D7DEC20000B000061,B6S
01100B4D7DEC20000B200031,B3S
01100B4D7DEC20000B200061,B6S
01100B4D7DEC30000A200031,B3S
01100B4D7DEC30000A200061,B6S
01100B4D7DEC30000A400031,B3S
01100B4D7DEC30000A400061,B6S
01100B4D7DEC30000A600031,B3S
01100B4D7DEC30000A600061,B6S
01100B4D7DEC30000A800031,B3S
01100B4D7DEC30000A800061,B6S
01100B4D7DEC30000AA00031,B3S
01100B4D7DEC30000AA00061,B6S
01100B4D7DEC30000AC00031,B3S
01100B4D7DEC30000AC00061,B6S
01100B4D7DEC30000AE00031,B3S
01100B4D7DEC30000AE00061,B6S
01100B4D7DEC30000AG00031,B3S
01100B4D7DEC30000AG00061,B6S
01100B4D7DEC30000AJ00031,B3S
01100B4D7DEC30000AJ00061,B6S
01100B4D7DEC30000AL00031,B3S
01100B4D7DEC30000AL00061,B6S
01100B4D7DEC30000AN00031,B3S
01100B4D7DEC30000AN00061,B6S
01100B4D7DEC30000AQ00031,B3S
01100B4D7DEC30000AQ00061,B6S
01100B4D7DEC30000AS00031,B3S
01100B4D7DEC30000AS00061,B6S
01100B4D7DEC30000AU00031,B3S
01100B4D7DEC30000AU00061,B6S
01100B4D7DEC30000AW00031,B3S
01100B4D7DEC30000AW00061,B6S
01100B4D7DEC30000AY00031,B3S
01100B4D7DEC30000AY00061,B6S
01100B4D7DEC30000B000031,B3S
01100B4D7DEC30000B000061,B6S
01100B4D7DEC30000B200031,B3S
01100B4D7DEC30000B200061,B6S
01100B4D7DEC40000A200031,B3S
01100B4D7DEC40000A200061,B6S
01100B4D7DEC40000A400031,B3S
01100B4D7DEC40000A400061,B6S
01100B4D7DEC40000A600031,B3S
01100B4D7DEC40000A600061,B6S
01100B4D7DEC40000A800031,B3S
01100B4D7DEC40000A800061,B6S
01100B4D7DEC40000AA00031,B3S
01100B4D7DEC40000AA00061,B6S
01100B4D7DEC40000AC00031,B3S
01100B4D7DEC40000AC00061,B6S
01100B4D7DEC40000AE00031,B3S
01100B4D7DEC40000AE00061,B6S
01100B4D7DEC40000AG00031,B3S
01100B4D7DEC40000AG00061,B6S
01100B4D7DEC40000AJ00031,B3S
01100B4D7DEC40000AJ00061,B6S
01100B4D7DEC40000AL00031,B3S
01100B4D7DEC40000AL00061,B6S
01100B4D7DEC40000AN00031,B3S
01100B4D7DEC40000AN00061,B6S
01100B4D7DEC40000AQ00031,B3S
01100B4D7DEC40000AQ00061,B6S
01100B4D7DEC40000AS00031,B3S
01100B4D7DEC40000AS00061,B6S
01100B4D7DEC40000AU00031,B3S
01100B4D7DEC40000AU00061,B6S
01100B4D7DEC40000AW00031,B3S
01100B4D7DEC40000AW00061,B6S
01100B4D7DEC40000AY00031,B3S
01100B4D7DEC40000AY00061,B6S
01100B4D7DEC40000B000031,B3S
01100B4D7DEC40000B000061,B6S
01100B4D7DEC40000B200031,B3S
01100B4D7DEC40000B200061,B6S
01100B4D7DFC10000A200031,B3S
01100B4D7DFC10000A200061,B6S
01100B4D7DFC10000A400031,B3S
01100B4D7DFC10000A400061,B6S
01100B4D7DFC10000A600031,B3S
01100B4D7DFC10000A600061,B6S
