UPC11,Material description
73390566943,OAS ASTIG 8.6 -1.00 -1.25/70 6P RX
73390566944,OAS ASTIG 8.6 -1.00 -1.25/80 6P RX
73390566945,OAS ASTIG 8.6 -1.00 -1.25/90 6P RX
73390566946,OAS ASTIG 8.6 -1.00 -1.25/100 6P RX
73390566947,OAS ASTIG 8.6 -1.00 -1.25/110 6P RX
73390566948,OAS ASTIG 8.6 -1.00 -1.25/120 6P RX
73390566949,OAS ASTIG 8.6 -1.00 -1.25/130 6P RX
73390566950,OAS ASTIG 8.6 -1.00 -1.25/140 6P RX
73390566951,OAS ASTIG 8.6 -1.00 -1.25/150 6P RX
73390566952,OAS ASTIG 8.6 -1.00 -1.25/160 6P RX
73390566953,OAS ASTIG 8.6 -1.00 -1.25/170 6P RX
73390566954,OAS ASTIG 8.6 -1.00 -1.25/180 6P RX
73390566955,OAS ASTIG 8.6 -1.25 -1.25/10 6P RX
73390566956,OAS ASTIG 8.6 -1.25 -1.25/20 6P RX
73390566957,OAS ASTIG 8.6 -1.25 -1.25/30 6P RX
73390566958,OAS ASTIG 8.6 -1.25 -1.25/40 6P RX
73390566959,OAS ASTIG 8.6 -1.25 -1.25/50 6P RX
73390566960,OAS ASTIG 8.6 -1.25 -1.25/60 6P RX
73390566961,OAS ASTIG 8.6 -1.25 -1.25/70 6P RX
73390566962,OAS ASTIG 8.6 -1.25 -1.25/80 6P RX
73390566963,OAS ASTIG 8.6 -1.25 -1.25/90 6P RX
73390566964,OAS ASTIG 8.6 -1.25 -1.25/100 6P RX
73390566965,OAS ASTIG 8.6 -1.25 -1.25/110 6P RX
73390566966,OAS ASTIG 8.6 -1.25 -1.25/120 6P RX
73390566967,OAS ASTIG 8.6 -1.25 -1.25/130 6P RX
73390566968,OAS ASTIG 8.6 -1.25 -1.25/140 6P RX
73390566969,OAS ASTIG 8.6 -1.25 -1.25/150 6P RX
73390566970,OAS ASTIG 8.6 -1.25 -1.25/160 6P RX
73390566971,OAS ASTIG 8.6 -1.25 -1.25/170 6P RX
73390566972,OAS ASTIG 8.6 -1.25 -1.25/180 6P RX
73390566973,OAS ASTIG 8.6 -1.50 -1.25/10 6P RX
73390566974,OAS ASTIG 8.6 -1.50 -1.25/20 6P RX
73390566975,OAS ASTIG 8.6 -1.50 -1.25/30 6P RX
73390566976,OAS ASTIG 8.6 -1.50 -1.25/40 6P RX
73390566977,OAS ASTIG 8.6 -1.50 -1.25/50 6P RX
73390566978,OAS ASTIG 8.6 -1.50 -1.25/60 6P RX
73390566979,OAS ASTIG 8.6 -1.50 -1.25/70 6P RX
73390566980,OAS ASTIG 8.6 -1.50 -1.25/80 6P RX
73390566981,OAS ASTIG 8.6 -1.50 -1.25/90 6P RX
73390566982,OAS ASTIG 8.6 -1.50 -1.25/100 6P RX
73390566983,OAS ASTIG 8.6 -1.50 -1.25/110 6P RX
73390566984,OAS ASTIG 8.6 -1.50 -1.25/120 6P RX
73390566985,OAS ASTIG 8.6 -1.50 -1.25/130 6P RX
73390566986,OAS ASTIG 8.6 -1.50 -1.25/140 6P RX
73390566987,OAS ASTIG 8.6 -1.50 -1.25/150 6P RX
73390566988,OAS ASTIG 8.6 -1.50 -1.25/160 6P RX
73390566989,OAS ASTIG 8.6 -1.50 -1.25/170 6P RX
73390566990,OAS ASTIG 8.6 -1.50 -1.25/180 6P RX
73390566991,OAS ASTIG 8.6 -1.75 -1.25/10 6P RX
73390566992,OAS ASTIG 8.6 -1.75 -1.25/20 6P RX
73390566993,OAS ASTIG 8.6 -1.75 -1.25/30 6P RX
73390566994,OAS ASTIG 8.6 -1.75 -1.25/40 6P RX
73390566995,OAS ASTIG 8.6 -1.75 -1.25/50 6P RX
73390566996,OAS ASTIG 8.6 -1.75 -1.25/60 6P RX
73390566997,OAS ASTIG 8.6 -1.75 -1.25/70 6P RX
73390566998,OAS ASTIG 8.6 -1.75 -1.25/80 6P RX
73390566999,OAS ASTIG 8.6 -1.75 -1.25/90 6P RX
73390567000,OAS ASTIG 8.6 -1.75 -1.25/100 6P RX
73390567001,OAS ASTIG 8.6 -1.75 -1.25/110 6P RX
73390567002,OAS ASTIG 8.6 -1.75 -1.25/120 6P RX
73390567003,OAS ASTIG 8.6 -1.75 -1.25/130 6P RX
73390567004,OAS ASTIG 8.6 -1.75 -1.25/140 6P RX
73390567005,OAS ASTIG 8.6 -1.75 -1.25/150 6P RX
73390567006,OAS ASTIG 8.6 -1.75 -1.25/160 6P RX
73390567007,OAS ASTIG 8.6 -1.75 -1.25/170 6P RX
73390567008,OAS ASTIG 8.6 -1.75 -1.25/180 6P RX
73390567009,OAS ASTIG 8.6 -2.00 -1.25/10 6P RX
73390567010,OAS ASTIG 8.6 -2.00 -1.25/20 6P RX
73390567011,OAS ASTIG 8.6 -2.00 -1.25/30 6P RX
73390567012,OAS ASTIG 8.6 -2.00 -1.25/40 6P RX
73390567013,OAS ASTIG 8.6 -2.00 -1.25/50 6P RX
73390567014,OAS ASTIG 8.6 -2.00 -1.25/60 6P RX
73390567015,OAS ASTIG 8.6 -2.00 -1.25/70 6P RX
73390567016,OAS ASTIG 8.6 -2.00 -1.25/80 6P RX
73390567017,OAS ASTIG 8.6 -2.00 -1.25/90 6P RX
73390567018,OAS ASTIG 8.6 -2.00 -1.25/100 6P RX
73390567019,OAS ASTIG 8.6 -2.00 -1.25/110 6P RX
73390567020,OAS ASTIG 8.6 -2.00 -1.25/120 6P RX
73390567021,OAS ASTIG 8.6 -2.00 -1.25/130 6P RX
73390567022,OAS ASTIG 8.6 -2.00 -1.25/140 6P RX
73390567023,OAS ASTIG 8.6 -2.00 -1.25/150 6P RX
73390567024,OAS ASTIG 8.6 -2.00 -1.25/160 6P RX
73390567025,OAS ASTIG 8.6 -2.00 -1.25/170 6P RX
73390567026,OAS ASTIG 8.6 -2.00 -1.25/180 6P RX
73390567027,OAS ASTIG 8.6 -2.25 -1.25/10 6P RX
73390567028,OAS ASTIG 8.6 -2.25 -1.25/20 6P RX
73390567029,OAS ASTIG 8.6 -2.25 -1.25/30 6P RX
73390567030,OAS ASTIG 8.6 -2.25 -1.25/40 6P RX
73390567031,OAS ASTIG 8.6 -2.25 -1.25/50 6P RX
73390567032,OAS ASTIG 8.6 -2.25 -1.25/60 6P RX
73390567033,OAS ASTIG 8.6 -2.25 -1.25/70 6P RX
73390567034,OAS ASTIG 8.6 -2.25 -1.25/80 6P RX
73390567035,OAS ASTIG 8.6 -2.25 -1.25/90 6P RX
73390567036,OAS ASTIG 8.6 -2.25 -1.25/100 6P RX
73390567037,OAS ASTIG 8.6 -2.25 -1.25/110 6P RX
73390567038,OAS ASTIG 8.6 -2.25 -1.25/120 6P RX
73390567039,OAS ASTIG 8.6 -2.25 -1.25/130 6P RX
73390567040,OAS ASTIG 8.6 -2.25 -1.25/140 6P RX
73390567041,OAS ASTIG 8.6 -2.25 -1.25/150 6P RX
73390567042,OAS ASTIG 8.6 -2.25 -1.25/160 6P RX
73390567043,OAS ASTIG 8.6 -2.25 -1.25/170 6P RX
73390567044,OAS ASTIG 8.6 -2.25 -1.25/180 6P RX
73390567045,OAS ASTIG 8.6 -2.50 -1.25/10 6P RX
73390567046,OAS ASTIG 8.6 -2.50 -1.25/20 6P RX
73390567047,OAS ASTIG 8.6 -2.50 -1.25/30 6P RX
73390567048,OAS ASTIG 8.6 -2.50 -1.25/40 6P RX
73390567049,OAS ASTIG 8.6 -2.50 -1.25/50 6P RX
73390567050,OAS ASTIG 8.6 -2.50 -1.25/60 6P RX
73390567051,OAS ASTIG 8.6 -2.50 -1.25/70 6P RX
73390567052,OAS ASTIG 8.6 -2.50 -1.25/80 6P RX
73390567053,OAS ASTIG 8.6 -2.50 -1.25/90 6P RX
73390567054,OAS ASTIG 8.6 -2.50 -1.25/100 6P RX
73390567055,OAS ASTIG 8.6 -2.50 -1.25/110 6P RX
73390567056,OAS ASTIG 8.6 -2.50 -1.25/120 6P RX
73390567057,OAS ASTIG 8.6 -2.50 -1.25/130 6P RX
73390567058,OAS ASTIG 8.6 -2.50 -1.25/140 6P RX
73390567059,OAS ASTIG 8.6 -2.50 -1.25/150 6P RX
73390567060,OAS ASTIG 8.6 -2.50 -1.25/160 6P RX
73390567061,OAS ASTIG 8.6 -2.50 -1.25/170 6P RX
73390567062,OAS ASTIG 8.6 -2.50 -1.25/180 6P RX
73390567063,OAS ASTIG 8.6 -2.75 -1.25/10 6P RX
73390567064,OAS ASTIG 8.6 -2.75 -1.25/20 6P RX
73390567065,OAS ASTIG 8.6 -2.75 -1.25/30 6P RX
73390567066,OAS ASTIG 8.6 -2.75 -1.25/40 6P RX
73390567067,OAS ASTIG 8.6 -2.75 -1.25/50 6P RX
73390567068,OAS ASTIG 8.6 -2.75 -1.25/60 6P RX
73390567069,OAS ASTIG 8.6 -2.75 -1.25/70 6P RX
73390567070,OAS ASTIG 8.6 -2.75 -1.25/80 6P RX
73390567071,OAS ASTIG 8.6 -2.75 -1.25/90 6P RX
73390567072,OAS ASTIG 8.6 -2.75 -1.25/100 6P RX
73390567073,OAS ASTIG 8.6 -2.75 -1.25/110 6P RX
73390567074,OAS ASTIG 8.6 -2.75 -1.25/120 6P RX
73390567075,OAS ASTIG 8.6 -2.75 -1.25/130 6P RX
73390567076,OAS ASTIG 8.6 -2.75 -1.25/140 6P RX
73390567077,OAS ASTIG 8.6 -2.75 -1.25/150 6P RX
73390567078,OAS ASTIG 8.6 -2.75 -1.25/160 6P RX
73390567079,OAS ASTIG 8.6 -2.75 -1.25/170 6P RX
73390567080,OAS ASTIG 8.6 -2.75 -1.25/180 6P RX
73390567081,OAS ASTIG 8.6 -3.00 -1.25/10 6P RX
73390567082,OAS ASTIG 8.6 -3.00 -1.25/20 6P RX
73390567083,OAS ASTIG 8.6 -3.00 -1.25/30 6P RX
73390567084,OAS ASTIG 8.6 -3.00 -1.25/40 6P RX
73390567085,OAS ASTIG 8.6 -3.00 -1.25/50 6P RX
73390567086,OAS ASTIG 8.6 -3.00 -1.25/60 6P RX
73390567087,OAS ASTIG 8.6 -3.00 -1.25/70 6P RX
73390567088,OAS ASTIG 8.6 -3.00 -1.25/80 6P RX
73390567089,OAS ASTIG 8.6 -3.00 -1.25/90 6P RX
73390567090,OAS ASTIG 8.6 -3.00 -1.25/100 6P RX
73390567091,OAS ASTIG 8.6 -3.00 -1.25/110 6P RX
73390567092,OAS ASTIG 8.6 -3.00 -1.25/120 6P RX
73390567093,OAS ASTIG 8.6 -3.00 -1.25/130 6P RX
73390567094,OAS ASTIG 8.6 -3.00 -1.25/140 6P RX
73390567095,OAS ASTIG 8.6 -3.00 -1.25/150 6P RX
73390567096,OAS ASTIG 8.6 -3.00 -1.25/160 6P RX
73390567097,OAS ASTIG 8.6 -3.00 -1.25/170 6P RX
73390567098,OAS ASTIG 8.6 -3.00 -1.25/180 6P RX
73390567099,OAS ASTIG 8.6 -3.25 -1.25/10 6P RX
73390567100,OAS ASTIG 8.6 -3.25 -1.25/20 6P RX
73390567101,OAS ASTIG 8.6 -3.25 -1.25/30 6P RX
73390567102,OAS ASTIG 8.6 -3.25 -1.25/40 6P RX
73390567103,OAS ASTIG 8.6 -3.25 -1.25/50 6P RX
73390567104,OAS ASTIG 8.6 -3.25 -1.25/60 6P RX
73390567105,OAS ASTIG 8.6 -3.25 -1.25/70 6P RX
73390567106,OAS ASTIG 8.6 -3.25 -1.25/80 6P RX
73390567107,OAS ASTIG 8.6 -3.25 -1.25/90 6P RX
73390567108,OAS ASTIG 8.6 -3.25 -1.25/100 6P RX
73390567109,OAS ASTIG 8.6 -3.25 -1.25/110 6P RX
73390567110,OAS ASTIG 8.6 -3.25 -1.25/120 6P RX
73390567111,OAS ASTIG 8.6 -3.25 -1.25/130 6P RX
73390567112,OAS ASTIG 8.6 -3.25 -1.25/140 6P RX
73390567113,OAS ASTIG 8.6 -3.25 -1.25/150 6P RX
73390567114,OAS ASTIG 8.6 -3.25 -1.25/160 6P RX
73390567115,OAS ASTIG 8.6 -3.25 -1.25/170 6P RX
73390567116,OAS ASTIG 8.6 -3.25 -1.25/180 6P RX
73390567117,OAS ASTIG 8.6 -3.50 -1.25/10 6P RX
73390567118,OAS ASTIG 8.6 -3.50 -1.25/20 6P RX
73390567119,OAS ASTIG 8.6 -3.50 -1.25/30 6P RX
73390567120,OAS ASTIG 8.6 -3.50 -1.25/40 6P RX
73390567121,OAS ASTIG 8.6 -3.50 -1.25/50 6P RX
73390567122,OAS ASTIG 8.6 -3.50 -1.25/60 6P RX
73390567123,OAS ASTIG 8.6 -3.50 -1.25/70 6P RX
73390567124,OAS ASTIG 8.6 -3.50 -1.25/80 6P RX
73390567125,OAS ASTIG 8.6 -3.50 -1.25/90 6P RX
73390567126,OAS ASTIG 8.6 -3.50 -1.25/100 6P RX
73390567127,OAS ASTIG 8.6 -3.50 -1.25/110 6P RX
73390567128,OAS ASTIG 8.6 -3.50 -1.25/120 6P RX
73390567129,OAS ASTIG 8.6 -3.50 -1.25/130 6P RX
73390567130,OAS ASTIG 8.6 -3.50 -1.25/140 6P RX
73390567131,OAS ASTIG 8.6 -3.50 -1.25/150 6P RX
73390567132,OAS ASTIG 8.6 -3.50 -1.25/160 6P RX
73390567133,OAS ASTIG 8.6 -3.50 -1.25/170 6P RX
73390567134,OAS ASTIG 8.6 -3.50 -1.25/180 6P RX
73390567135,OAS ASTIG 8.6 -3.75 -1.25/10 6P RX
73390567136,OAS ASTIG 8.6 -3.75 -1.25/20 6P RX
73390567137,OAS ASTIG 8.6 -3.75 -1.25/30 6P RX
73390567138,OAS ASTIG 8.6 -3.75 -1.25/40 6P RX
73390567139,OAS ASTIG 8.6 -3.75 -1.25/50 6P RX
73390567140,OAS ASTIG 8.6 -3.75 -1.25/60 6P RX
73390567141,OAS ASTIG 8.6 -3.75 -1.25/70 6P RX
73390567142,OAS ASTIG 8.6 -3.75 -1.25/80 6P RX
73390567143,OAS ASTIG 8.6 -3.75 -1.25/90 6P RX
73390567144,OAS ASTIG 8.6 -3.75 -1.25/100 6P RX
73390567145,OAS ASTIG 8.6 -3.75 -1.25/110 6P RX
73390567146,OAS ASTIG 8.6 -3.75 -1.25/120 6P RX
73390567147,OAS ASTIG 8.6 -3.75 -1.25/130 6P RX
73390567148,OAS ASTIG 8.6 -3.75 -1.25/140 6P RX
73390567149,OAS ASTIG 8.6 -3.75 -1.25/150 6P RX
73390567150,OAS ASTIG 8.6 -3.75 -1.25/160 6P RX
73390567151,OAS ASTIG 8.6 -3.75 -1.25/170 6P RX
73390567152,OAS ASTIG 8.6 -3.75 -1.25/180 6P RX
73390567153,OAS ASTIG 8.6 -4.00 -1.25/10 6P RX
73390567154,OAS ASTIG 8.6 -4.00 -1.25/20 6P RX
73390567155,OAS ASTIG 8.6 -4.00 -1.25/30 6P RX
73390567156,OAS ASTIG 8.6 -4.00 -1.25/40 6P RX
73390567157,OAS ASTIG 8.6 -4.00 -1.25/50 6P RX
73390567158,OAS ASTIG 8.6 -4.00 -1.25/60 6P RX
73390567159,OAS ASTIG 8.6 -4.00 -1.25/70 6P RX
73390567160,OAS ASTIG 8.6 -4.00 -1.25/80 6P RX
73390567161,OAS ASTIG 8.6 -4.00 -1.25/90 6P RX
73390567162,OAS ASTIG 8.6 -4.00 -1.25/100 6P RX
73390567163,OAS ASTIG 8.6 -4.00 -1.25/110 6P RX
73390567164,OAS ASTIG 8.6 -4.00 -1.25/120 6P RX
73390567165,OAS ASTIG 8.6 -4.00 -1.25/130 6P RX
73390567166,OAS ASTIG 8.6 -4.00 -1.25/140 6P RX
73390567167,OAS ASTIG 8.6 -4.00 -1.25/150 6P RX
73390567168,OAS ASTIG 8.6 -4.00 -1.25/160 6P RX
73390567169,OAS ASTIG 8.6 -4.00 -1.25/170 6P RX
73390567170,OAS ASTIG 8.6 -4.00 -1.25/180 6P RX
73390567171,OAS ASTIG 8.6 -4.25 -1.25/10 6P RX
73390567172,OAS ASTIG 8.6 -4.25 -1.25/20 6P RX
73390567173,OAS ASTIG 8.6 -4.25 -1.25/30 6P RX
73390567174,OAS ASTIG 8.6 -4.25 -1.25/40 6P RX
73390567175,OAS ASTIG 8.6 -4.25 -1.25/50 6P RX
73390567176,OAS ASTIG 8.6 -4.25 -1.25/60 6P RX
73390567177,OAS ASTIG 8.6 -4.25 -1.25/70 6P RX
73390567178,OAS ASTIG 8.6 -4.25 -1.25/80 6P RX
73390567179,OAS ASTIG 8.6 -4.25 -1.25/90 6P RX
73390567180,OAS ASTIG 8.6 -4.25 -1.25/100 6P RX
73390567181,OAS ASTIG 8.6 -4.25 -1.25/110 6P RX
73390567182,OAS ASTIG 8.6 -4.25 -1.25/120 6P RX
73390567183,OAS ASTIG 8.6 -4.25 -1.25/130 6P RX
73390567184,OAS ASTIG 8.6 -4.25 -1.25/140 6P RX
73390567185,OAS ASTIG 8.6 -4.25 -1.25/150 6P RX
73390567186,OAS ASTIG 8.6 -4.25 -1.25/160 6P RX
73390567187,OAS ASTIG 8.6 -4.25 -1.25/170 6P RX
73390567188,OAS ASTIG 8.6 -4.25 -1.25/180 6P RX
73390567189,OAS ASTIG 8.6 -4.50 -1.25/10 6P RX
73390567190,OAS ASTIG 8.6 -4.50 -1.25/20 6P RX
73390567191,OAS ASTIG 8.6 -4.50 -1.25/30 6P RX
73390567192,OAS ASTIG 8.6 -4.50 -1.25/40 6P RX
73390567193,OAS ASTIG 8.6 -4.50 -1.25/50 6P RX
73390567194,OAS ASTIG 8.6 -4.50 -1.25/60 6P RX
73390567195,OAS ASTIG 8.6 -4.50 -1.25/70 6P RX
73390567196,OAS ASTIG 8.6 -4.50 -1.25/80 6P RX
73390567197,OAS ASTIG 8.6 -4.50 -1.25/90 6P RX
73390567198,OAS ASTIG 8.6 -4.50 -1.25/100 6P RX
73390567199,OAS ASTIG 8.6 -4.50 -1.25/110 6P RX
73390567200,OAS ASTIG 8.6 -4.50 -1.25/120 6P RX
73390567201,OAS ASTIG 8.6 -4.50 -1.25/130 6P RX
73390567202,OAS ASTIG 8.6 -4.50 -1.25/140 6P RX
73390567203,OAS ASTIG 8.6 -4.50 -1.25/150 6P RX
73390567204,OAS ASTIG 8.6 -4.50 -1.25/160 6P RX
73390567205,OAS ASTIG 8.6 -4.50 -1.25/170 6P RX
73390567206,OAS ASTIG 8.6 -4.50 -1.25/180 6P RX
73390567207,OAS ASTIG 8.6 -4.75 -1.25/10 6P RX
73390567208,OAS ASTIG 8.6 -4.75 -1.25/20 6P RX
73390567209,OAS ASTIG 8.6 -4.75 -1.25/30 6P RX
73390567210,OAS ASTIG 8.6 -4.75 -1.25/40 6P RX
73390567211,OAS ASTIG 8.6 -4.75 -1.25/50 6P RX
73390567212,OAS ASTIG 8.6 -4.75 -1.25/60 6P RX
73390567213,OAS ASTIG 8.6 -4.75 -1.25/70 6P RX
73390567214,OAS ASTIG 8.6 -4.75 -1.25/80 6P RX
73390567215,OAS ASTIG 8.6 -4.75 -1.25/90 6P RX
73390567216,OAS ASTIG 8.6 -4.75 -1.25/100 6P RX
73390567217,OAS ASTIG 8.6 -4.75 -1.25/110 6P RX
73390567218,OAS ASTIG 8.6 -4.75 -1.25/120 6P RX
73390567219,OAS ASTIG 8.6 -4.75 -1.25/130 6P RX
73390567220,OAS ASTIG 8.6 -4.75 -1.25/140 6P RX
73390567221,OAS ASTIG 8.6 -4.75 -1.25/150 6P RX
73390567222,OAS ASTIG 8.6 -4.75 -1.25/160 6P RX
73390567223,OAS ASTIG 8.6 -4.75 -1.25/170 6P RX
73390567224,OAS ASTIG 8.6 -4.75 -1.25/180 6P RX
73390567225,OAS ASTIG 8.6 -5.00 -1.25/10 6P RX
73390567226,OAS ASTIG 8.6 -5.00 -1.25/20 6P RX
73390567227,OAS ASTIG 8.6 -5.00 -1.25/30 6P RX
73390567228,OAS ASTIG 8.6 -5.00 -1.25/40 6P RX
73390567229,OAS ASTIG 8.6 -5.00 -1.25/50 6P RX
73390567230,OAS ASTIG 8.6 -5.00 -1.25/60 6P RX
73390567231,OAS ASTIG 8.6 -5.00 -1.25/70 6P RX
73390567232,OAS ASTIG 8.6 -5.00 -1.25/80 6P RX
73390567233,OAS ASTIG 8.6 -5.00 -1.25/90 6P RX
73390567234,OAS ASTIG 8.6 -5.00 -1.25/100 6P RX
73390567235,OAS ASTIG 8.6 -5.00 -1.25/110 6P RX
73390567236,OAS ASTIG 8.6 -5.00 -1.25/120 6P RX
73390567237,OAS ASTIG 8.6 -5.00 -1.25/130 6P RX
73390567238,OAS ASTIG 8.6 -5.00 -1.25/140 6P RX
73390567239,OAS ASTIG 8.6 -5.00 -1.25/150 6P RX
73390567240,OAS ASTIG 8.6 -5.00 -1.25/160 6P RX
73390567241,OAS ASTIG 8.6 -5.00 -1.25/170 6P RX
73390567242,OAS ASTIG 8.6 -5.00 -1.25/180 6P RX
73390567243,OAS ASTIG 8.6 -5.25 -1.25/10 6P RX
73390567244,OAS ASTIG 8.6 -5.25 -1.25/20 6P RX
73390567245,OAS ASTIG 8.6 -5.25 -1.25/30 6P RX
73390567246,OAS ASTIG 8.6 -5.25 -1.25/40 6P RX
73390567247,OAS ASTIG 8.6 -5.25 -1.25/50 6P RX
73390567248,OAS ASTIG 8.6 -5.25 -1.25/60 6P RX
73390567249,OAS ASTIG 8.6 -5.25 -1.25/70 6P RX
73390567250,OAS ASTIG 8.6 -5.25 -1.25/80 6P RX
73390567251,OAS ASTIG 8.6 -5.25 -1.25/90 6P RX
73390567252,OAS ASTIG 8.6 -5.25 -1.25/100 6P RX
73390567253,OAS ASTIG 8.6 -5.25 -1.25/110 6P RX
73390567254,OAS ASTIG 8.6 -5.25 -1.25/120 6P RX
73390567255,OAS ASTIG 8.6 -5.25 -1.25/130 6P RX
73390567256,OAS ASTIG 8.6 -5.25 -1.25/140 6P RX
73390567257,OAS ASTIG 8.6 -5.25 -1.25/150 6P RX
73390567258,OAS ASTIG 8.6 -5.25 -1.25/160 6P RX
73390567259,OAS ASTIG 8.6 -5.25 -1.25/170 6P RX
73390567260,OAS ASTIG 8.6 -5.25 -1.25/180 6P RX
73390567261,OAS ASTIG 8.6 -5.50 -1.25/10 6P RX
73390567262,OAS ASTIG 8.6 -5.50 -1.25/20 6P RX
73390567263,OAS ASTIG 8.6 -5.50 -1.25/30 6P RX
73390567264,OAS ASTIG 8.6 -5.50 -1.25/40 6P RX
73390567265,OAS ASTIG 8.6 -5.50 -1.25/50 6P RX
73390567266,OAS ASTIG 8.6 -5.50 -1.25/60 6P RX
73390567267,OAS ASTIG 8.6 -5.50 -1.25/70 6P RX
73390567268,OAS ASTIG 8.6 -5.50 -1.25/80 6P RX
73390567269,OAS ASTIG 8.6 -5.50 -1.25/90 6P RX
73390567270,OAS ASTIG 8.6 -5.50 -1.25/100 6P RX
73390567271,OAS ASTIG 8.6 -5.50 -1.25/110 6P RX
73390567272,OAS ASTIG 8.6 -5.50 -1.25/120 6P RX
73390567273,OAS ASTIG 8.6 -5.50 -1.25/130 6P RX
73390567274,OAS ASTIG 8.6 -5.50 -1.25/140 6P RX
73390567275,OAS ASTIG 8.6 -5.50 -1.25/150 6P RX
73390567276,OAS ASTIG 8.6 -5.50 -1.25/160 6P RX
73390567277,OAS ASTIG 8.6 -5.50 -1.25/170 6P RX
73390567278,OAS ASTIG 8.6 -5.50 -1.25/180 6P RX
73390567279,OAS ASTIG 8.6 -5.75 -1.25/10 6P RX
73390567280,OAS ASTIG 8.6 -5.75 -1.25/20 6P RX
73390567281,OAS ASTIG 8.6 -5.75 -1.25/30 6P RX
73390567282,OAS ASTIG 8.6 -5.75 -1.25/40 6P RX
73390567283,OAS ASTIG 8.6 -5.75 -1.25/50 6P RX
73390567284,OAS ASTIG 8.6 -5.75 -1.25/60 6P RX
73390567285,OAS ASTIG 8.6 -5.75 -1.25/70 6P RX
73390567286,OAS ASTIG 8.6 -5.75 -1.25/80 6P RX
73390567287,OAS ASTIG 8.6 -5.75 -1.25/90 6P RX
73390567288,OAS ASTIG 8.6 -5.75 -1.25/100 6P RX
73390567289,OAS ASTIG 8.6 -5.75 -1.25/110 6P RX
73390567290,OAS ASTIG 8.6 -5.75 -1.25/120 6P RX
73390567291,OAS ASTIG 8.6 -5.75 -1.25/130 6P RX
73390567292,OAS ASTIG 8.6 -5.75 -1.25/140 6P RX
73390567293,OAS ASTIG 8.6 -5.75 -1.25/150 6P RX
73390567294,OAS ASTIG 8.6 -5.75 -1.25/160 6P RX
73390567295,OAS ASTIG 8.6 -5.75 -1.25/170 6P RX
73390567296,OAS ASTIG 8.6 -5.75 -1.25/180 6P RX
73390567297,OAS ASTIG 8.6 -6.00 -1.25/10 6P RX
73390567298,OAS ASTIG 8.6 -6.00 -1.25/20 6P RX
73390567299,OAS ASTIG 8.6 -6.00 -1.25/30 6P RX
73390567300,OAS ASTIG 8.6 -6.00 -1.25/40 6P RX
73390567301,OAS ASTIG 8.6 -6.00 -1.25/50 6P RX
73390567302,OAS ASTIG 8.6 -6.00 -1.25/60 6P RX
73390567303,OAS ASTIG 8.6 -6.00 -1.25/70 6P RX
73390567304,OAS ASTIG 8.6 -6.00 -1.25/80 6P RX
73390567305,OAS ASTIG 8.6 -6.00 -1.25/90 6P RX
73390567306,OAS ASTIG 8.6 -6.00 -1.25/100 6P RX
73390567307,OAS ASTIG 8.6 -6.00 -1.25/110 6P RX
73390567308,OAS ASTIG 8.6 -6.00 -1.25/120 6P RX
73390567309,OAS ASTIG 8.6 -6.00 -1.25/130 6P RX
73390567310,OAS ASTIG 8.6 -6.00 -1.25/140 6P RX
73390567311,OAS ASTIG 8.6 -6.00 -1.25/150 6P RX
73390567312,OAS ASTIG 8.6 -6.00 -1.25/160 6P RX
73390567313,OAS ASTIG 8.6 -6.00 -1.25/170 6P RX
73390567314,OAS ASTIG 8.6 -6.00 -1.25/180 6P RX
73390567315,OAS ASTIG 8.6 +0.00 -1.75/10 6P RX
73390567316,OAS ASTIG 8.6 +0.00 -1.75/20 6P RX
73390567317,OAS ASTIG 8.6 +0.00 -1.75/30 6P RX
73390567318,OAS ASTIG 8.6 +0.00 -1.75/40 6P RX
73390567319,OAS ASTIG 8.6 +0.00 -1.75/50 6P RX
73390567320,OAS ASTIG 8.6 +0.00 -1.75/60 6P RX
73390567321,OAS ASTIG 8.6 +0.00 -1.75/70 6P RX
73390567322,OAS ASTIG 8.6 +0.00 -1.75/80 6P RX
73390567323,OAS ASTIG 8.6 +0.00 -1.75/90 6P RX
73390567324,OAS ASTIG 8.6 +0.00 -1.75/100 6P RX
73390567325,OAS ASTIG 8.6 +0.00 -1.75/110 6P RX
73390567326,OAS ASTIG 8.6 +0.00 -1.75/120 6P RX
73390567327,OAS ASTIG 8.6 +0.00 -1.75/130 6P RX
73390567328,OAS ASTIG 8.6 +0.00 -1.75/140 6P RX
73390567329,OAS ASTIG 8.6 +0.00 -1.75/150 6P RX
73390567330,OAS ASTIG 8.6 +0.00 -1.75/160 6P RX
73390567331,OAS ASTIG 8.6 +0.00 -1.75/170 6P RX
73390567332,OAS ASTIG 8.6 +0.00 -1.75/180 6P RX
73390567333,OAS ASTIG 8.6 -0.25 -1.75/10 6P RX
73390567334,OAS ASTIG 8.6 -0.25 -1.75/20 6P RX
73390567335,OAS ASTIG 8.6 -0.25 -1.75/30 6P RX
73390567336,OAS ASTIG 8.6 -0.25 -1.75/40 6P RX
73390567337,OAS ASTIG 8.6 -0.25 -1.75/50 6P RX
73390567338,OAS ASTIG 8.6 -0.25 -1.75/60 6P RX
73390567339,OAS ASTIG 8.6 -0.25 -1.75/70 6P RX
73390567340,OAS ASTIG 8.6 -0.25 -1.75/80 6P RX
73390567341,OAS ASTIG 8.6 -0.25 -1.75/90 6P RX
